output_gap: ODA-CAN_NGAP_NPGDP
Source: https://data.nasdaq.com/data/ODA/CAN_NGAP_NPGDP-canada-output-gap-of-potential-gdp,,,,,
Date,GAP_P,GDP_R,GDP_P,K,L
1985,72.872,131.368,58.796,38.256,"347,785.369"
1986,72.348,130.563,61.454,39.495,"362,537.541"
1987,72.969,130.955,64.350,41.321,"396,357.379"
1988,74.130,130.003,67.146,43.753,"435,194.022"
1989,74.488,126.583,68.982,46.135,"462,216.237"
1990,74.531,122.366,69.054,47.519,"472,034.851"
1991,74.429,114.791,66.889,48.617,"464,264.682"
1992,76.143,113.545,66.227,49.435,"468,528.025"
1993,77.411,115.278,67.750,50.133,"487,398.870"
1994,79.311,118.889,70.602,51.689,"525,291.813"
1995,80.103,119.173,72.783,53.264,"557,148.750"
1996,79.680,117.643,74.999,55.154,"581,648.058"
1997,82.173,117.668,77.363,58.193,"619,794.797"
1998,84.135,116.159,79.538,61.798,"646,125.462"
1999,87.250,117.106,81.975,65.385,"702,980.886"
2000,91.082,118.307,84.385,68.848,"782,184.681"
2001,92.546,116.675,84.893,70.799,"807,194.291"
2002,93.801,117.811,86.338,72.000,"831,406.824"
2003,94.044,116.513,88.200,74.098,"877,373.437"
2004,94.668,115.437,90.893,77.283,"940,493.924"
2005,96.786,112.711,92.176,81.628,"1,006,063.585"
2006,98.231,109.142,93.551,86.518,"1,062,369.809"
2007,98.510,106.477,95.549,90.424,"1,120,060.714"
2008,97.546,102.325,96.580,93.907,"1,177,368.072"
2009,96.667,97.180,92.740,93.567,"1,069,115.053"
2010,98.000,99.671,95.556,94.759,"1,144,636.090"
2011,100.106,100.768,97.509,97.274,"1,227,991.504"
2012,100.000,100.000,100.000,100.000,"1,259,922.908"
2013,101.937,99.649,101.104,103.316,"1,311,800.006"
2014,105.663,99.710,101.456,106.881,"1,386,414.356"
2015,105.325,98.574,102.762,108.706,"1,358,845.037"
2016,106.238,98.706,103.241,109.415,"1,372,609.535"
2017,108.142,100.380,105.387,111.434,"1,460,246.754"
2018,108.538,100.229,108.244,114.672,"1,528,366.718"
2019,109.214,99.187,110.240,118.264,"1,581,340.150"
2020,118.608,92.193,96.553,118.792,..
2021,111.610,95.239,107.666,120.744,..
,,,,,
Symbol legend:,,,,,
.., not available for a specific reference period,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Footnotes:,,,,,
1,"The business sector covers the whole economy less public administration, non-profit institutions and the rental value of owner-occupied dwellings.",,,,
2,"Labour productivity is measured as real gross domestic product (GDP) per hours worked. It shows the time profile of how productively labour is used to generate value-added. Changes in value-added-based labour productivity reflect the joint influence of capital, skill upgrading, and overall productive efficiency.",,,,
3,Capital productivity is measured as real gross domestic product (GDP) per unit of capital services.,,,,
4,"Labour input is obtained by chained-Fisher aggregation of hours worked of all workers, classified by education, work experience, and class of workers (paid workers versus self-employed and unpaid family workers) using hourly compensation as weights.",,,,
5,"Capital input measures the services derived from the stock of fixed reproducible business assets (equipment and structures), inventories, and land. It is obtained by chained-Fisher aggregation of capital stocks using the cost of capital to determine weights.",,,,
6,Gross domestic product (GDP) is valued at basic prices. It is calculated as gross output at basic prices minus intermediate inputs at purchaser prices. Data on gross domestic product (GDP) are available up to the most current year of the input-output table.,,,,
,,,,,
,,,,,
,,,,,
"How to cite: Statistics Canada. Table 36-10-0208-01  Multifactor productivity, value-added, capital input and labour input in the aggregate business sector and major sub-sectors, by industry",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610020801,,,,,
